iter	Logloss
0	0.6891544477
1	0.6846701922
2	0.6810740292
3	0.6776568376
4	0.6745133116
5	0.671086147
6	0.6683304333
7	0.6657234756
8	0.6635759187
9	0.6616404119
10	0.65951053
11	0.6576620651
12	0.6561787509
13	0.6548342691
14	0.6534316772
15	0.6518748984
16	0.6507023278
17	0.6495550354
18	0.6485032272
19	0.6473375686
20	0.6460454205
21	0.6451196575
22	0.6441832796
23	0.6436044988
24	0.6425766851
25	0.641686667
26	0.6406997329
27	0.6399039647
28	0.6392192823
29	0.6387494147
30	0.6380358993
31	0.6373550678
32	0.6368103038
33	0.6362040725
34	0.635689672
35	0.6353141531
36	0.6347624278
37	0.6342483235
38	0.6336149873
39	0.6329638773
40	0.6324958859
41	0.6320558387
42	0.6319960993
43	0.6315224301
44	0.6310052154
45	0.6304710169
46	0.6299647133
47	0.6295242711
48	0.6290561315
49	0.6287016449
50	0.6279012853
51	0.6275920228
52	0.6272623701
53	0.6267585844
54	0.626180939
55	0.6254920106
56	0.624911403
57	0.6245740977
58	0.6242282017
59	0.6239402184
60	0.6235321638
61	0.6229976691
62	0.6225489325
63	0.6220941726
64	0.6217866875
65	0.6214662672
66	0.6210252325
67	0.6206637352
68	0.6201823147
69	0.619781814
70	0.6195223179
71	0.6191151027
72	0.6187860917
73	0.6186015415
74	0.6182544606
75	0.6177484531
76	0.617485353
77	0.6171331375
78	0.6169115587
79	0.6166217979
80	0.6161803683
81	0.6158108728
82	0.6156033155
83	0.6153240709
84	0.6150517383
85	0.6146165788
86	0.6143149196
87	0.6139211333
88	0.6134997485
89	0.6131934484
90	0.6127792224
91	0.61258149
92	0.6123994576
93	0.6118930552
94	0.6114228421
95	0.6111996834
96	0.6108915072
97	0.6104156657
98	0.6097704803
99	0.6095132553
100	0.60931182
101	0.6089417815
102	0.6087376801
103	0.6083775158
104	0.608008514
105	0.6076114693
106	0.6070452781
107	0.6066899028
108	0.6061785139
109	0.6058856922
110	0.6055666049
111	0.6053546535
112	0.6051140667
113	0.6046114659
114	0.6043367635
115	0.6041007188
116	0.6038543062
117	0.6034738502
118	0.603070486
119	0.6029301725
120	0.6024803003
121	0.6021446736
122	0.6018176375
123	0.6014291834
124	0.6010112051
125	0.6006529663
126	0.6004098616
127	0.6001434535
128	0.5997706995
129	0.5994714595
130	0.5991151461
131	0.5987315304
132	0.5985996594
133	0.5982328793
134	0.5979904658
135	0.5975897676
136	0.5973572283
137	0.596868649
138	0.5964608906
139	0.5960049458
140	0.5954908909
141	0.5952851109
142	0.5949801932
143	0.5946182021
144	0.5943667042
145	0.5940580343
146	0.5937899476
147	0.5933976425
148	0.5930066211
149	0.592760949
150	0.5923932803
151	0.5920871776
152	0.5915153582
153	0.5913389542
154	0.5910277169
155	0.5907140111
156	0.5904076122
157	0.590212299
158	0.5897281631
159	0.5889404919
160	0.5883877297
161	0.5880260349
162	0.5877064539
163	0.587359373
164	0.5870392982
165	0.5867692367
166	0.5863334848
167	0.5859772208
168	0.5857649732
169	0.5852572872
170	0.5848180299
