iter	Passed	Remaining
0	5	2546
1	9	2380
2	13	2291
3	18	2251
4	22	2221
5	26	2209
6	31	2201
7	35	2204
8	40	2229
9	45	2218
10	49	2208
11	54	2208
12	58	2187
13	62	2182
14	66	2166
15	71	2155
16	75	2144
17	79	2138
18	83	2124
19	87	2107
20	91	2089
21	95	2071
22	99	2058
23	102	2042
24	107	2036
25	111	2026
26	115	2020
27	119	2008
28	122	1995
29	126	1985
30	130	1978
31	135	1980
32	139	1974
33	143	1961
34	147	1955
35	151	1951
36	155	1948
37	159	1941
38	163	1934
39	167	1930
40	171	1922
41	175	1914
42	178	1899
43	182	1890
44	186	1882
45	189	1874
46	193	1865
47	197	1858
48	200	1850
49	204	1841
50	208	1839
51	212	1832
52	216	1825
53	220	1819
54	224	1813
55	227	1807
56	231	1800
57	235	1793
58	239	1792
59	244	1789
60	248	1787
61	252	1784
62	256	1780
63	260	1774
64	265	1774
65	269	1769
66	273	1764
67	277	1761
68	281	1757
69	285	1755
70	289	1751
71	293	1747
72	297	1741
73	302	1740
74	306	1737
75	311	1735
76	315	1730
77	319	1730
78	323	1725
79	327	1719
80	331	1715
81	335	1709
82	339	1704
83	343	1699
84	347	1697
85	351	1692
86	355	1687
87	359	1681
88	363	1678
89	367	1673
90	371	1670
91	376	1668
92	380	1665
93	384	1662
94	389	1659
95	393	1656
96	398	1655
97	403	1655
98	408	1653
99	412	1649
100	417	1647
101	420	1642
102	424	1637
103	428	1632
104	432	1626
105	436	1621
106	440	1618
107	444	1613
108	448	1608
109	452	1604
110	456	1600
111	460	1596
112	465	1592
113	469	1590
114	473	1586
115	478	1583
116	482	1579
117	486	1574
118	490	1569
119	493	1563
120	497	1559
121	501	1554
122	505	1549
123	509	1545
124	514	1544
125	518	1539
126	522	1534
127	525	1528
128	530	1524
129	534	1520
130	538	1516
131	542	1511
132	546	1507
133	550	1503
134	554	1499
135	558	1494
136	562	1491
137	567	1487
138	571	1483
139	575	1480
140	579	1475
141	583	1470
142	587	1467
143	592	1463
144	597	1462
145	601	1458
146	605	1454
147	610	1451
148	614	1447
149	619	1444
150	623	1442
151	628	1438
152	633	1436
153	638	1433
154	642	1430
155	647	1427
156	652	1424
157	656	1421
158	661	1419
159	666	1416
160	671	1413
161	676	1410
162	680	1407
163	686	1406
164	691	1403
165	695	1400
166	700	1397
167	705	1393
168	710	1390
169	714	1386
170	718	1383
171	723	1380
172	728	1377
173	733	1374
174	738	1370
175	742	1367
176	748	1365
177	753	1363
178	759	1361
179	763	1357
180	768	1354
181	772	1349
182	776	1345
183	780	1340
184	784	1336
185	788	1331
186	793	1328
187	797	1323
188	802	1319
189	806	1316
190	810	1311
191	814	1307
192	819	1303
193	823	1299
194	827	1294
195	832	1290
196	836	1286
197	840	1282
198	845	1279
199	849	1274
200	854	1270
201	858	1266
202	863	1263
203	868	1259
204	872	1255
205	876	1251
206	881	1247
207	886	1244
208	890	1239
209	895	1236
210	899	1232
211	904	1228
212	908	1224
213	913	1220
214	917	1215
215	921	1211
216	925	1206
217	929	1201
218	933	1197
219	937	1192
220	941	1188
221	945	1183
222	948	1178
223	952	1173
224	956	1169
225	961	1165
226	965	1160
227	970	1157
228	974	1153
229	978	1149
230	983	1145
231	987	1141
232	992	1137
233	996	1133
234	1001	1129
235	1006	1125
236	1011	1121
237	1015	1117
238	1019	1113
239	1024	1109
240	1028	1105
241	1032	1100
242	1036	1096
243	1040	1092
244	1044	1087
245	1048	1082
246	1052	1078
247	1056	1073
248	1060	1069
249	1064	1064
250	1068	1059
251	1072	1055
252	1076	1050
253	1080	1046
254	1084	1041
255	1088	1037
256	1092	1033
257	1096	1028
258	1100	1024
259	1104	1019
260	1108	1015
261	1113	1011
262	1117	1006
263	1121	1002
264	1125	997
265	1129	993
266	1133	989
267	1137	984
268	1141	979
269	1145	975
270	1149	971
271	1153	966
272	1157	962
273	1161	958
274	1165	953
275	1169	948
276	1173	944
277	1177	940
278	1182	936
279	1185	931
280	1189	927
281	1193	922
282	1197	918
283	1201	913
284	1205	909
285	1209	905
286	1213	900
287	1217	896
288	1221	892
289	1226	888
290	1230	883
291	1234	879
292	1238	874
293	1242	870
294	1245	865
295	1249	861
296	1254	857
297	1258	852
298	1261	848
299	1266	844
300	1270	839
301	1275	836
302	1279	832
303	1284	828
304	1289	824
305	1293	820
306	1298	816
307	1303	812
308	1307	808
309	1312	804
310	1317	800
311	1322	796
312	1327	792
313	1332	789
314	1336	785
315	1341	781
316	1345	776
317	1350	772
318	1354	768
319	1359	764
320	1364	760
321	1370	757
322	1375	753
323	1380	749
324	1385	746
325	1390	742
326	1395	738
327	1400	734
